Epoch 8 completed in 647.8s  avg_loss=0.008529  lr=3.504e-03

Validation loss: 0.002984

Epoch 9 Step 20/506  loss=0.008394  lr=3.489e-03
Epoch 9 Step 40/506  loss=0.008277  lr=3.474e-03
Epoch 9 Step 60/506  loss=0.008240  lr=3.459e-03
Epoch 9 Step 80/506  loss=0.008267  lr=3.444e-03
Epoch 9 Step 100/506  loss=0.008315  lr=3.429e-03
Epoch 9 Step 120/506  loss=0.008371  lr=3.414e-03
Epoch 9 Step 140/506  loss=0.008338  lr=3.398e-03
Epoch 9 Step 160/506  loss=0.008318  lr=3.383e-03
Epoch 9 Step 180/506  loss=0.008318  lr=3.368e-03
Epoch 9 Step 200/506  loss=0.008287  lr=3.353e-03
Epoch 9 Step 220/506  loss=0.008298  lr=3.337e-03
Epoch 9 Step 240/506  loss=0.008301  lr=3.322e-03
Epoch 9 Step 260/506  loss=0.008286  lr=3.306e-03
Epoch 9 Step 280/506  loss=0.008269  lr=3.291e-03
Epoch 9 Step 300/506  loss=0.008263  lr=3.275e-03
Epoch 9 Step 320/506  loss=0.008245  lr=3.260e-03
Epoch 9 Step 340/506  loss=0.008232  lr=3.244e-03
Epoch 9 Step 360/506  loss=0.008222  lr=3.229e-03
Epoch 9 Step 380/506  loss=0.008219  lr=3.213e-03
Epoch 9 Step 400/506  loss=0.008238  lr=3.197e-03
Epoch 9 Step 420/506  loss=0.008235  lr=3.182e-03
Epoch 9 Step 440/506  loss=0.008227  lr=3.166e-03
Epoch 9 Step 460/506  loss=0.008223  lr=3.150e-03
Epoch 9 Step 480/506  loss=0.008223  lr=3.134e-03
Epoch 9 Step 500/506  loss=0.008232  lr=3.118e-03
Epoch 9 completed in 641.2s  avg_loss=0.008236  lr=3.114e-03

Validation loss: 0.003056

Epoch 10 Step 20/506  loss=0.008115  lr=3.098e-03
Epoch 10 Step 40/506  loss=0.008167  lr=3.082e-03
Epoch 10 Step 60/506  loss=0.008149  lr=3.066e-03
Epoch 10 Step 80/506  loss=0.008102  lr=3.050e-03
Epoch 10 Step 100/506  loss=0.008142  lr=3.034e-03
Epoch 10 Step 120/506  loss=0.008151  lr=3.018e-03
Epoch 10 Step 140/506  loss=0.008134  lr=3.002e-03
Epoch 10 Step 160/506  loss=0.008120  lr=2.986e-03
Epoch 10 Step 180/506  loss=0.008100  lr=2.970e-03
Epoch 10 Step 200/506  loss=0.008065  lr=2.954e-03
Epoch 10 Step 220/506  loss=0.008045  lr=2.938e-03
Epoch 10 Step 240/506  loss=0.008010  lr=2.922e-03
Epoch 10 Step 260/506  loss=0.007992  lr=2.906e-03
Epoch 10 Step 280/506  loss=0.007987  lr=2.890e-03
Epoch 10 Step 300/506  loss=0.007971  lr=2.874e-03
